# SensorLabel SensorNo Slope Intercept
1 515 -32950.980177087156 -0.514982395804614
2 514 -33004.0583919826 0.5685971389714051
3 513 -33112.05415507306 -0.015399032195688944
4 424 -33012.14201993019 0.49035270878859083
5 347 -33051.075851529225 -0.32615513663779505
6 516 -33045.830072448174 0.3893273876073906
7 429 -33037.007852902956 -0.5077103157955822
8 519 -33038.66177582311 0.04723606138138736
9 521 -33064.698882201614 0.18136413336335777
10 626 -32986.49810389122 -0.16024178884666251
11 613 -32981.8577029165 0.4557342498770953
12 618 -32971.209732920426 -0.4216618784154764
13 622 -33107.903238240346 0.40895579641435376
14 612 -33037.16088052921 0.15693651809555864
15 616 -33054.790174365386 -0.8791090387267524
16 614 -33043.91421279275 0.10696961418805695
