# SensorLabel SensorNo Slope Intercept
1 515 32986.63104446241 0.26514389251131254
2 514 33018.57185319304 -0.8241383481841369
3 513 33081.593581921494 -0.24251324478155944
4 424 32975.13208403447 -0.7382129679267921
5 347 33010.401263622225 0.08721838913772695
6 516 33035.3146978213 -0.6324854522019321
7 429 33025.17002041806 0.2414177599277174
8 519 33015.39935771155 -0.30513348710706256
9 521 33053.23456807096 -0.43158985480412704
10 626 32978.478892397514 -0.10222538149467675
11 613 32976.57676438977 -0.7062445633193526
12 618 32986.63983484798 0.18588580346955763
13 622 32997.06329030539 -0.7143578075226265
14 612 33027.009511445875 -0.4128231684720538
15 616 33045.31811369692 0.6390617234635314
16 614 33034.48173802494 -0.36569262899823207
